Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R5         CR1608-0603           2690mil       4215mil       2690mil       4215mil       2690mil   4248.464mil  T        270.00 Res3           
P1         HDR2X5                3490mil       4400mil       3290mil       4350mil       3290mil       4350mil  T        360.00 Header 5X2     
C19        CC1608-0603           3450mil       3160mil       3450mil       3160mil       3450mil   3193.464mil  T        270.00 Cap            
C20        CC3216-1206           3380mil       3160mil       3380mil       3160mil       3380mil   3104.882mil  T         90.00 Cap2           
C26        CC1608-0603           3300mil       3160mil       3300mil       3160mil       3300mil   3126.536mil  T         90.00 Cap            
C23        CC1608-0603           3690mil       3315mil       3690mil       3315mil       3690mil   3281.536mil  T         90.00 Cap            
R14        CR1608-0603           2460mil       2925mil       2460mil       2925mil   2426.536mil       2925mil  T        360.00 Res3           
R18        CR1608-0603           3125mil       2915mil       3125mil       2915mil       3125mil   2881.536mil  T         90.00 Res3           
R21        CR1608-0603           2265mil       2960mil       2265mil       2960mil   2231.536mil       2960mil  T        360.00 Res3           
C21        CC1608-0603           2170mil       2925mil       2170mil       2925mil       2170mil   2891.536mil  T         90.00 Cap            
Designator D10                      0mil          0mil     1004.5mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.625mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.625mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1003.812mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1003.812mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1005.625mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.625mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.625mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1004.5mil   1003.812mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1004.5mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1005.5mil   1003.062mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1005.5mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1004.5mil   1002.562mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil     1004.5mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.625mil    1001.75mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.625mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1003.812mil   1001.188mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1003.812mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D11                      0mil          0mil   1005.625mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.25mil   1004.375mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.25mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.375mil   1004.312mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.375mil    1004.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil     1007.5mil    1004.25mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil     1007.5mil   1004.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.562mil   1004.188mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.562mil   1004.125mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.625mil   1004.125mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.625mil   1004.062mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.688mil   1004.062mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.688mil   1003.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.75mil   1003.938mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil    1007.75mil    1003.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.812mil    1003.75mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.812mil   1003.438mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.188mil   1003.438mil          0mil          0mil  T          0.00 Comment        
Designator D10                      0mil          0mil   1007.188mil   1003.625mil          0mil          0mil  T          0.00 Comment        
